Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
9;7;9;7;16;0028_abasky-deeppay-1.0.0-swagger.json
1;0;10;7;17;0030_ABC-CONSULTORIA-HubCustomer-v1-swagger.json
2;0;12;7;19;0038_act-inc-org-1-act-inc-api-1-1.0.0-swagger.json
225;0;237;7;244;0039_Actimo-Actimo-1.2.2-swagger.json
4;0;241;7;248;0045_Adj1-Catalog-1.0.0-swagger.json
20;0;261;7;268;0053_advent_matthewa-DealerDirect-0-swagger.json
2;0;263;7;270;0062_AgrigateNZ-animal-treatments-api-1.0-swagger.json
4;1;267;8;275;0070_aireno-Transkipcija-1.3.0-swagger.json
4;0;271;8;279;0074_AjRj-catalog-1.0.0-swagger.json
10;0;281;8;289;0077_akaracsony-appointments-v1-swagger.json
7;0;288;8;296;0079_AksKurir-OrdersAPI-1.0.0-swagger.json
3;1;291;9;300;0084_alatushkin-context-help-mapping-dictionary-0.0.2-swagger.json
18;1;309;10;319;0086_alex.costa.modusbox-TestImport-1.0.0-swagger.json
16;1;325;11;336;0087_Alexander-Burghuber-RoarFit-API-1.8.2-swagger.json
6;0;331;11;342;0092_alexlapaev-PlusBankLoginApi-0.1.0.1-swagger.json
7;2;338;13;351;0093_alexsander-ramos-cenibraformsapi-1.0.0-oas3-swagger.json
3;0;341;13;354;0095_AlexSpark-TESTO-1.0-swagger.json
3;0;344;13;357;0097_alfah-ap-mag-service-api-1.0-swagger.json
14;0;358;13;371;0101_Alight963-dcbrokeragetransaction-channel_service_api-0.1.7-swagger.json
5;0;363;13;376;0102_AlightSolutions1-ContributionRateChange-1.1-swagger.json
23;2;386;15;401;0111_alphadose-gasper-dominus_api-1.0-swagger.json
16;3;402;18;420;0112_alyf.de-ERPNext-13-swagger.json
4;0;406;18;424;0115_amassi-QiotaApiAuth-0.1-swagger.json
2;0;408;18;426;0117_Ameliom-JelliOrders-1.1.1-swagger.json
21;0;429;18;447;0125_analogic_2004-UCOIN-1.0.0-swagger.json
4;0;433;18;451;0127_andre.vellinha-MSLACloudServices-1.0.0-swagger.json
12;6;445;24;469;0128_AndreiBarbuOz-ui-bank-1.0.0-swagger.json
4;4;449;28;477;0150_AploRex2-AploRex-API-1.0.0-swagger.json
10;0;459;28;487;0152_Apologistics-GmbH-autostore_controller-1.0.0-swagger.json
65;51;524;79;603;0166_Appy.dev-AppyMicroservices-2.2.3-swagger.json
137;64;661;143;804;0181_Aseapp-papa-loopback-3.0.0-swagger.json
67;0;728;143;871;0190_atmosphere-digital-wgts-1.0.0-swagger.json
6;1;734;144;878;0197_Avanan-msp-api_gw-0.1-swagger.json
10;4;744;148;892;0206_awell-awell-api-v1.2-swagger.json
5;0;749;148;897;0207_AWS-Cumulus-Cumulus-1.0-oas3-swagger.json
44;22;793;170;963;0217_b6215-api-schema-1.0.1-swagger.json
28;28;821;198;1019;0222_baonq5-Call_Center_APIs-4.0.0-swagger.json
40;5;861;203;1064;0223_baonq5-LocalSupport-1.0.0-swagger.json
10;0;871;203;1074;0224_baonv-api-pryvatex_exchange-1.0.0-swagger.json
271;0;1142;203;1345;0235_bctest-brite-core_gen_2_api-2.0.0-swagger.json
51;1;1193;204;1397;0242_BeMoby8-bemoby-call_center_api-1.1.0-swagger.json
11;5;1204;209;1413;0250_bi-edpi-component-inventory_api-1.0.0-oas3-swagger.json
1;0;1205;209;1414;0286_Booking-Protect-Ltd-Cancellation-1.0.0-swagger.json
1;0;1206;209;1415;0288_Booking-Protect-Ltd-Sales-1.0.0-swagger.json
7;0;1213;209;1422;0294_BO_integration-1C_DMS-1.0.3-swagger.json
1;0;1214;209;1423;0295_BO_integration-Acquisitors_for_sale-1.0.0-swagger.json
2;0;1216;209;1425;0296_BO_integration-Contract_import-1.0.2-swagger.json
3;0;1219;209;1428;0297_BO_integrations-blanks_management-1.0.0-swagger.json
1;0;1220;209;1429;0299_BO_integration_1-Health_insurance_iic-1.0.0-swagger.json
2;0;1222;209;1431;0309_BTCorretora-Acoes-1.0.0-swagger.json
8;0;1230;209;1439;0313_BTCorretora-Seguranca-1.0.0-swagger.json
94;31;1324;240;1564;0314_BudakHasan-CMS-PROJECT-v1.0.0-oas3-swagger.json
