Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
9;7;9;7;16;0028_abasky-deeppay-1.0.0-swagger.json
1;0;10;7;17;0030_ABC-CONSULTORIA-HubCustomer-v1-swagger.json
2;0;12;7;19;0038_act-inc-org-1-act-inc-api-1-1.0.0-swagger.json
225;0;237;7;244;0039_Actimo-Actimo-1.2.2-swagger.json
4;0;241;7;248;0045_Adj1-Catalog-1.0.0-swagger.json
20;0;261;7;268;0053_advent_matthewa-DealerDirect-0-swagger.json
4;1;265;8;273;0070_aireno-Transkipcija-1.3.0-swagger.json
4;0;269;8;277;0074_AjRj-catalog-1.0.0-swagger.json
10;0;279;8;287;0077_akaracsony-appointments-v1-swagger.json
3;1;282;9;291;0084_alatushkin-context-help-mapping-dictionary-0.0.2-swagger.json
18;1;300;10;310;0086_alex.costa.modusbox-TestImport-1.0.0-swagger.json
16;1;316;11;327;0087_Alexander-Burghuber-RoarFit-API-1.8.2-swagger.json
6;0;322;11;333;0092_alexlapaev-PlusBankLoginApi-0.1.0.1-swagger.json
7;2;329;13;342;0093_alexsander-ramos-cenibraformsapi-1.0.0-oas3-swagger.json
3;0;332;13;345;0095_AlexSpark-TESTO-1.0-swagger.json
3;0;335;13;348;0097_alfah-ap-mag-service-api-1.0-swagger.json
5;0;340;13;353;0102_AlightSolutions1-ContributionRateChange-1.1-swagger.json
23;2;363;15;378;0111_alphadose-gasper-dominus_api-1.0-swagger.json
16;3;379;18;397;0112_alyf.de-ERPNext-13-swagger.json
4;0;383;18;401;0115_amassi-QiotaApiAuth-0.1-swagger.json
2;0;385;18;403;0117_Ameliom-JelliOrders-1.1.1-swagger.json
21;0;406;18;424;0125_analogic_2004-UCOIN-1.0.0-swagger.json
4;0;410;18;428;0127_andre.vellinha-MSLACloudServices-1.0.0-swagger.json
12;6;422;24;446;0128_AndreiBarbuOz-ui-bank-1.0.0-swagger.json
4;4;426;28;454;0150_AploRex2-AploRex-API-1.0.0-swagger.json
10;0;436;28;464;0152_Apologistics-GmbH-autostore_controller-1.0.0-swagger.json
65;51;501;79;580;0166_Appy.dev-AppyMicroservices-2.2.3-swagger.json
137;64;638;143;781;0181_Aseapp-papa-loopback-3.0.0-swagger.json
67;0;705;143;848;0190_atmosphere-digital-wgts-1.0.0-swagger.json
6;1;711;144;855;0197_Avanan-msp-api_gw-0.1-swagger.json
10;4;721;148;869;0206_awell-awell-api-v1.2-swagger.json
5;0;726;148;874;0207_AWS-Cumulus-Cumulus-1.0-oas3-swagger.json
44;22;770;170;940;0217_b6215-api-schema-1.0.1-swagger.json
28;28;798;198;996;0222_baonq5-Call_Center_APIs-4.0.0-swagger.json
40;5;838;203;1041;0223_baonq5-LocalSupport-1.0.0-swagger.json
10;0;848;203;1051;0224_baonv-api-pryvatex_exchange-1.0.0-swagger.json
271;0;1119;203;1322;0235_bctest-brite-core_gen_2_api-2.0.0-swagger.json
51;1;1170;204;1374;0242_BeMoby8-bemoby-call_center_api-1.1.0-swagger.json
11;5;1181;209;1390;0250_bi-edpi-component-inventory_api-1.0.0-oas3-swagger.json
1;0;1182;209;1391;0286_Booking-Protect-Ltd-Cancellation-1.0.0-swagger.json
1;0;1183;209;1392;0288_Booking-Protect-Ltd-Sales-1.0.0-swagger.json
7;0;1190;209;1399;0294_BO_integration-1C_DMS-1.0.3-swagger.json
1;0;1191;209;1400;0295_BO_integration-Acquisitors_for_sale-1.0.0-swagger.json
2;0;1193;209;1402;0296_BO_integration-Contract_import-1.0.2-swagger.json
3;0;1196;209;1405;0297_BO_integrations-blanks_management-1.0.0-swagger.json
1;0;1197;209;1406;0299_BO_integration_1-Health_insurance_iic-1.0.0-swagger.json
2;0;1199;209;1408;0309_BTCorretora-Acoes-1.0.0-swagger.json
8;0;1207;209;1416;0313_BTCorretora-Seguranca-1.0.0-swagger.json
94;31;1301;240;1541;0314_BudakHasan-CMS-PROJECT-v1.0.0-oas3-swagger.json
13;35;1314;275;1589;0319_C3868-cmyn-api-iteracion3-swagger.json
6;0;1320;275;1595;0334_CareAcademy-CareAcademy-1.0.6-swagger.json
2;0;1322;275;1597;0353_centiglobe-pay-1.0.0-swagger.json
