Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
9;7;9;7;16;0028_abasky-deeppay-1.0.0-swagger.json
1;0;10;7;17;0030_ABC-CONSULTORIA-HubCustomer-v1-swagger.json
36;0;46;7;53;0034_abootis-work-kserver-1.0.0-swagger.json
2;0;48;7;55;0038_act-inc-org-1-act-inc-api-1-1.0.0-swagger.json
225;0;273;7;280;0039_Actimo-Actimo-1.2.2-swagger.json
4;0;277;7;284;0045_Adj1-Catalog-1.0.0-swagger.json
20;0;297;7;304;0053_advent_matthewa-DealerDirect-0-swagger.json
4;1;301;8;309;0070_aireno-Transkipcija-1.3.0-swagger.json
4;0;305;8;313;0074_AjRj-catalog-1.0.0-swagger.json
10;0;315;8;323;0077_akaracsony-appointments-v1-swagger.json
3;1;318;9;327;0084_alatushkin-context-help-mapping-dictionary-0.0.2-swagger.json
18;1;336;10;346;0086_alex.costa.modusbox-TestImport-1.0.0-swagger.json
16;1;352;11;363;0087_Alexander-Burghuber-RoarFit-API-1.8.2-swagger.json
6;0;358;11;369;0092_alexlapaev-PlusBankLoginApi-0.1.0.1-swagger.json
7;2;365;13;378;0093_alexsander-ramos-cenibraformsapi-1.0.0-oas3-swagger.json
3;0;368;13;381;0095_AlexSpark-TESTO-1.0-swagger.json
3;0;371;13;384;0097_alfah-ap-mag-service-api-1.0-swagger.json
5;0;376;13;389;0102_AlightSolutions1-ContributionRateChange-1.1-swagger.json
28;10;404;23;427;0103_alihamza-leoo-backend_api-1.0-swagger.json
34;6;438;29;467;0108_allen1-test-1.0.0-oas3-swagger.json
8;10;446;39;485;0110_ALO.ai-api.alo.ai-1.0.4-swagger.json
23;2;469;41;510;0111_alphadose-gasper-dominus_api-1.0-swagger.json
16;3;485;44;529;0112_alyf.de-ERPNext-13-swagger.json
4;0;489;44;533;0115_amassi-QiotaApiAuth-0.1-swagger.json
2;0;491;44;535;0117_Ameliom-JelliOrders-1.1.1-swagger.json
21;0;512;44;556;0125_analogic_2004-UCOIN-1.0.0-swagger.json
4;0;516;44;560;0127_andre.vellinha-MSLACloudServices-1.0.0-swagger.json
12;6;528;50;578;0128_AndreiBarbuOz-ui-bank-1.0.0-swagger.json
6;2;534;52;586;0150_AploRex2-AploRex-API-1.0.0-swagger.json
10;0;544;52;596;0152_Apologistics-GmbH-autostore_controller-1.0.0-swagger.json
65;51;609;103;712;0166_Appy.dev-AppyMicroservices-2.2.3-swagger.json
137;64;746;167;913;0181_Aseapp-papa-loopback-3.0.0-swagger.json
67;0;813;167;980;0190_atmosphere-digital-wgts-1.0.0-swagger.json
51;36;864;203;1067;0195_Automizy-Entermizy_public_v2-2.0.0-swagger.json
6;1;870;204;1074;0197_Avanan-msp-api_gw-0.1-swagger.json
10;4;880;208;1088;0206_awell-awell-api-v1.2-swagger.json
5;0;885;208;1093;0207_AWS-Cumulus-Cumulus-1.0-oas3-swagger.json
44;22;929;230;1159;0217_b6215-api-schema-1.0.1-swagger.json
28;28;957;258;1215;0222_baonq5-Call_Center_APIs-4.0.0-swagger.json
40;5;997;263;1260;0223_baonq5-LocalSupport-1.0.0-swagger.json
10;0;1007;263;1270;0224_baonv-api-pryvatex_exchange-1.0.0-swagger.json
271;0;1278;263;1541;0235_bctest-brite-core_gen_2_api-2.0.0-swagger.json
51;1;1329;264;1593;0242_BeMoby8-bemoby-call_center_api-1.1.0-swagger.json
11;5;1340;269;1609;0250_bi-edpi-component-inventory_api-1.0.0-oas3-swagger.json
30;12;1370;281;1651;0279_bntlangu-dls-1.0.1-swagger.json
21;2;1391;283;1674;0283_Bookaway-B2B-1.0.0-swagger.json
1;0;1392;283;1675;0286_Booking-Protect-Ltd-Cancellation-1.0.0-swagger.json
1;0;1393;283;1676;0288_Booking-Protect-Ltd-Sales-1.0.0-swagger.json
7;0;1400;283;1683;0294_BO_integration-1C_DMS-1.0.3-swagger.json
1;0;1401;283;1684;0295_BO_integration-Acquisitors_for_sale-1.0.0-swagger.json
2;0;1403;283;1686;0296_BO_integration-Contract_import-1.0.2-swagger.json
3;0;1406;283;1689;0297_BO_integrations-blanks_management-1.0.0-swagger.json
1;0;1407;283;1690;0299_BO_integration_1-Health_insurance_iic-1.0.0-swagger.json
