Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
0;5;0;5;5;0067_AIRAVIRTUAL-companies-api-0.9.2-swagger.json
0;1;0;6;6;0136_anjaneyuluk-CMSPageAPI-V01-swagger.json
0;2;0;8;8;0137_anjaneyuluk-OutletsAPI-V01-swagger.json
0;33;0;41;41;0420_Connectpla-NeuronNBI-PUB-0.1.5-swagger.json
0;0;0;41;41;0450_cybernation-arrival-general-models-0.1-swagger.json
0;1;0;42;42;0529_Dinaco-e-control_public-1.1.0-swagger.json
0;1;0;43;43;0533_Direct_Wines-ItemList-1.0.0-swagger.json
0;2;0;45;45;0605_EDM-Group-LenderHubExtensions-1.0.0-swagger.json
0;14;0;59;59;0651_evernym-verity-rest-api-0.6-swagger.json
0;9;0;68;68;0683_filippolp-ThingworxAPI-1.0.0-swagger.json
0;2;0;70;70;0687_FIS54-horizon-customer-service-v1-swagger.json
0;1;0;71;71;0722_Galago-billing-1.0.0-swagger.json
0;30;0;101;101;0753_goldsip8-GoldSIPAggPartnerAPI-1.0.0-beta-swagger.json
0;86;0;187;187;0754_goldsip8-GoldSipPartnerAPIs-1.1.0-swagger.json
0;7;0;194;194;0881_immoviewer-PanoAPI-2.0.1-swagger.json
0;1;0;195;195;0884_implemica-aidwatch-deviceResponse-api-2.0.0-swagger.json
0;6;0;201;201;0886_incadea-OnlineBooking-2.0.0-swagger.json
0;11;0;212;212;0887_incadea-Sales-2.0.0-swagger.json
0;14;0;226;226;0888_incadea-VehicleChecklist-2.1.0-swagger.json
0;1;0;227;227;0930_Intrigue.io-VulnDB-1.0.0-swagger.json
0;3;0;230;230;0939_iquatic-iQuatic_JetFeeder-1.0.0-swagger.json
0;24;0;254;254;1109_leandrodaf-Order-1.0-oas3-swagger.json
0;2;0;256;256;1175_luis-pintado-feverup-Feverzone-0.1.1-swagger.json
0;60;0;316;316;1209_MassiveDataHeights-massive_core2_api-0.0.27-swagger.json
0;0;0;316;316;1253_Minthealth-campaign-schemas-1.0.1-swagger.json
0;4;0;320;320;1304_ndfalkatir-News_Service-v1.0.0-swagger.json
0;1;0;321;321;1318_Nexaas-Emites-emites-api_v_2-2.0.0-swagger.json
0;2;0;323;323;1351_oeigor-smartHSA_onboarding-1.0.0-swagger.json
0;1;0;324;324;1392_pablobfonseca-EventsAPI-2.0.0-swagger.json
0;1;0;325;325;1432_Photon-Infotech6-CurrentB2bUnitPartnerAPI-V2-swagger.json
0;1;0;326;326;1433_Photon-Infotech6-CurrentUserAPI-V2-swagger.json
0;1;0;327;327;1434_Photon-Infotech6-PLP-V2-swagger.json
0;2;0;329;329;1534_rbhat-iapiFeTest-1.0.2-swagger.json
0;13;0;342;342;1576_roox-provisioning-org_roles_rest_api-0.1.19081-swagger.json
0;4;0;346;346;1589_RubiyaKadarBasha-cpm-1.0.0-swagger.json
0;35;0;381;381;1615_sample-api-mock-internal-medicine-1.0.0-swagger.json
0;4;0;385;385;1640_Self366-Breaks-1.0.0-swagger.json
0;28;0;413;413;1699_SmartGold-integ-1hrPartner-Stage1-1.0.0-integ-swagger.json
0;2;0;415;415;1741_Storyous-api-menu-v3-0.0.2-swagger.json
0;2;0;417;417;1746_Styria.AI-bullwinkle-1.1.1-swagger.json
0;1;0;418;418;1747_Styria.AI-Reveal-1.0.0-swagger.json
0;2;0;420;420;1783_taskflow-chatbot-storage-1.0.0-swagger.json
0;98;0;518;518;1832_TietoAPI-api-gateway_v_1_0-v1.0-swagger.json
0;3;0;521;521;1886_UnicornTeam-Payroll-1.0.8-swagger.json
0;1;0;522;522;1918_VisaNetPeru-api.visanet.authorization-1.0.0-swagger.json
0;2;0;524;524;1956_whispli-SAML-user-deprovisioning-1.0.0-swagger.json
0;1;0;525;525;2035_Zipari-Core-Services-DocumentsDetail-10.3.1-swagger.json
0;1;0;526;526;2045_Zipari-Core-Services-MembersPlanBenefitsList-10.0.6-swagger.json
0;1;0;527;527;2053_Zipari-Core-Services-PlanBenefitsList-10.1.1-swagger.json
